epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,69336.5,0.95411,0.62886,0.96255,0.72568,0.78705,0.72025,0.391,0.45304,37.7825,0.49125,0.000742625,0.000742625,0.000742625
43,69439.8,0.93586,0.60916,0.94416,0.6883,0.71611,0.5929,0.37181,0.46748,8.25666,0.4976,0.00073025,0.00073025,0.00073025
44,69539.5,0.90756,0.58695,0.94873,0.74545,0.7702,0.7038,0.37794,0.4741,5.88703,0.5001,0.000717875,0.000717875,0.000717875
45,69640.7,0.9458,0.60426,0.95514,0.73495,0.76926,0.68656,0.3746,0.50684,5.86817,0.51423,0.0007055,0.0007055,0.0007055
46,69739.8,0.94451,0.64333,0.95706,0.68126,0.65963,0.62124,0.36726,0.4803,8.02475,0.49784,0.000693125,0.000693125,0.000693125
47,69838.3,0.93841,0.59666,0.95214,0.78295,0.74503,0.70459,0.36009,0.47485,5.24259,0.49772,0.00068075,0.00068075,0.00068075
48,69936.5,0.9388,0.60634,0.95763,0.67774,0.7466,0.67642,0.39118,0.49249,5.57358,0.50191,0.000668375,0.000668375,0.000668375
49,70036.6,0.91477,0.59191,0.95308,0.67301,0.73559,0.65977,0.36946,0.47018,4.39836,0.50004,0.000656,0.000656,0.000656
50,70137.5,0.91856,0.58067,0.94591,0.82129,0.7123,0.73953,0.36372,0.43912,5.93618,0.49151,0.000643625,0.000643625,0.000643625
51,70236.1,0.96467,0.58679,0.974,0.76087,0.70373,0.70237,0.35068,0.47652,8.42432,0.50217,0.00063125,0.00063125,0.00063125
52,70333.4,0.93119,0.58693,0.93937,0.76454,0.6907,0.71912,0.35722,0.45155,12.3977,0.49254,0.000618875,0.000618875,0.000618875
53,70431.8,0.91221,0.61244,0.95079,0.72427,0.68641,0.69036,0.38358,0.47441,4.37421,0.5034,0.0006065,0.0006065,0.0006065
54,70531.7,0.90458,0.58743,0.93952,0.71453,0.68001,0.62493,0.35752,0.47163,4.10815,0.50335,0.000594125,0.000594125,0.000594125
55,70633.1,0.90281,0.60436,0.95593,0.65482,0.72123,0.59626,0.36746,0.45912,4.16272,0.4989,0.00058175,0.00058175,0.00058175
56,70732.8,0.91135,0.56588,0.95013,0.72896,0.7144,0.68593,0.37987,0.45283,11.6195,0.49572,0.000569375,0.000569375,0.000569375
57,70832.9,0.8893,0.54241,0.93936,0.77092,0.62878,0.67465,0.38521,0.46303,6.00597,0.49664,0.000557,0.000557,0.000557
